AutoEncoderKL60_Config()
	batch_size: 16
	beta1: 0.9
	beta2: 0.95
	channels: [64, 64, 128, 256, 256]
	compress_ratio: 8
	embed_dim: 4
	gpu_num: 3
	grad_clip: 1.0
	gradient_accumulation_steps: 4
	img_size: 256
	kl_weight: 0.001
	layers: [2, 2, 2, 2]
	learning_rate: 0.0006
	lr_decay_iters: 12000
	max_iters: 13000
	min_lr: 6e-05
	num_epoch: 1
	rec_weight: 0.01
	warmup_iters: 800
	z_channel: 4

total_params: 20.95M, encoder_params: 8.56M, decoder_params: 12.39M
step 100, loss 568.618, rec_loss 565.405, kl_loss 3.213, lr: 0.0000742, consume 207.12s
step 200, loss 367.835, rec_loss 362.397, kl_loss 5.438, lr: 0.0001492, consume 123.75s
step 300, loss 298.065, rec_loss 291.085, kl_loss 6.979, lr: 0.0002242, consume 123.96s
step 400, loss 271.739, rec_loss 263.290, kl_loss 8.449, lr: 0.0002992, consume 124.16s
step 500, loss 246.616, rec_loss 236.990, kl_loss 9.627, lr: 0.0003743, consume 124.02s
step 600, loss 240.562, rec_loss 230.492, kl_loss 10.070, lr: 0.0004492, consume 123.95s
step 700, loss 234.273, rec_loss 223.820, kl_loss 10.453, lr: 0.0005242, consume 123.98s
step 800, loss 230.808, rec_loss 219.842, kl_loss 10.966, lr: 0.0005992, consume 123.93s
step 900, loss 215.930, rec_loss 205.026, kl_loss 10.905, lr: 0.0005999, consume 124.06s
step 1000, loss 210.699, rec_loss 199.870, kl_loss 10.829, lr: 0.0005996, consume 124.06s
step 1100, loss 201.352, rec_loss 190.538, kl_loss 10.814, lr: 0.0005991, consume 124.08s
step 1200, loss 194.346, rec_loss 183.607, kl_loss 10.739, lr: 0.0005983, consume 124.02s
step 1300, loss 186.444, rec_loss 175.667, kl_loss 10.777, lr: 0.0005974, consume 124.16s
step 1400, loss 177.840, rec_loss 167.115, kl_loss 10.725, lr: 0.0005962, consume 124.07s
step 1500, loss 171.417, rec_loss 160.793, kl_loss 10.624, lr: 0.0005948, consume 124.22s
step 1600, loss 170.703, rec_loss 160.080, kl_loss 10.623, lr: 0.0005932, consume 124.14s
